,Category,obvi,,
852,96117469;96117470,NA,,
403,90127573,0.916666666666667,,
429,90133586,0.916666666666667,,
476,90155475,0.916666666666667,,
721,90444950,0.916666666666667,,
756,96101646,0.916666666666667,,
825,96110731,0.916666666666667,,
498,90173331,0.909090909090909,,
155,49410490,0.833333333333333,,
537,90204571,0.833333333333333,,
728,95004572,0.833333333333333,,
987,96170323,0.833333333333333,,
988,96170353,0.833333333333333,,
152,49406377,0.777777777777778,,
384,90101762,0.727272727272727,,
409,90130132,0.666666666666667,,
454,90141925,0.666666666666667,,
569,90305608,0.666666666666667,,
978,96169628,0.666666666666667,,
1011,96197776,0.666666666666667,,
379,90096764,0.583333333333333,,
404,90128159,0.583333333333333,,
428,90133196,0.583333333333333,,
463,90151751,0.583333333333333,,
869,96128491,0.583333333333333,,
927,96139890,0.583333333333333,,
484,90169931,0.545454545454545,,
1002,96186672,0.545454545454545,,
82,49129398,0.454545454545455,,
522,90193844,0.454545454545455,,
242,61000777,0.428571428571429,,
160,49422556,0.416666666666667,,
464,90151792,0.416666666666667,,
465,90151806,0.416666666666667,,
500,90176517,0.416666666666667,,
546,90217247,0.416666666666667,,
681,90396719,0.416666666666667,,
715,90442468,0.416666666666667,,
873,96128524,0.416666666666667,,
1001,96186551,0.416666666666667,,
474,90155461,0.363636363636364,,
308,90038775,0.333333333333333,,
432,90134127,0.333333333333333,,
752,96101366,0.272727272727273,,
1062,96204346,0.272727272727273,,
801,96106231,0.222222222222222,,
351,90074576,0.181818181818182,,
354,90077715,0.181818181818182,,
322,90046013,0.166666666666667,,
421,90132042,0.166666666666667,,
521,90193589,0.166666666666667,,
646,90351018,0.166666666666667,,
885,96129056,0.166666666666667,,
1000,96183462,0.166666666666667,,
295,90026627,0.142857142857143,,
890,96129156,0.142857142857143,,
788,96103716,0.111111111111111,,
835,96115565,0.111111111111111,,
100,49132394,0.0909090909090909,,
215,50801442,0.0909090909090909,,
225,50900735,0.0909090909090909,,
244,61003134,0.0909090909090909,,
742,96101297,0.0909090909090909,,
867,96128479,0.0909090909090909,,
972,96157993,0.0909090909090909,,
1066,96211846,0.0909090909090909,,
87,49130104,0.0833333333333333,,
674,90381334,0.0833333333333333,,
707,90437012,0.0833333333333333,,
793,96103990,0.0833333333333333,,
868,96128480,0.0833333333333333,,
871,96128508,0.0833333333333333,,
979,96169634,0.0833333333333333,,
989,96170648,0.0833333333333333,,
1024,96200932,0.0833333333333333,,
1075,96214630,0.0833333333333333,,
1018,96200442,241.083333333333,,
390,90123905,191.5,,
861,96118297,139,,
401,90126543,133.333333333333,,
1008,96187592,126,,
1100,96216754,125,,
821,96109636,124.6,,
468,90154968,116,,
6,29013329,106,,
922,96132484,100,,
5,29011419,99.0909090909091,,
110,49136659,95.6,,
313,90041218,90.6,,
408,90129805,90.0909090909091,,
103,49133498,85.0833333333333,,
547,90217465,77.9166666666667,,
226,50900736,75.0833333333333,,
545,90215494,72.5454545454545,,
1065,96211824,71.3333333333333,,
607,90330608,69.25,,
552,90227342,67.5833333333333,,
64,46550142,66.5,,
580,90308923,66,,
587,90321976,63,,
769,96103191,62.8333333333333,,
1005,96187090,56.25,,
818,96109039,53.8181818181818,,
501,90176751,52.25,,
169,49510369,51.9,,
593,90323007,51.1666666666667,,
1063,96204362,50.9166666666667,,
1031,96201566,50.4166666666667,,
682,90397244,50.0833333333333,,
1083,96216648,50,,
608,90330609,49.9166666666667,,
8,30050788,48.75,,
777,96103299,47,,
517,90187292,46.5833333333333,,
902,96129785,46.5833333333333,,
750,96101353,45.8333333333333,,
747,96101343,44.4166666666667,,
647,90351371,44.2727272727273,,
743,96101298,43.3333333333333,,
3,18055778,43.3,,
650,90356576,43.125,,
624,90337359,43.0833333333333,,
223,50900679,42.5833333333333,,
672,90381025,41.6666666666667,,
703,90417144,39.4166666666667,,
952,96152758,39.1666666666667,,
753,96101368,39,,
1102,96217386,37.5,,
44,31801379,37.1818181818182,,
121,49240095,37.1666666666667,,
1103,96217867,37,,
492,90171680,36.625,,
739,96100549,36.3333333333333,,
1041,96202841,36.3333333333333,,
94,49130778,35.25,,
182,49519239,34.25,,
1004,96186991,33.8181818181818,,
965,96155957,33.75,,
98,49131350,32.9166666666667,,
586,90321966,32.25,,
993,96174136,32.25,,
224,50900734,32.0909090909091,,
456,90141938,31.5833333333333,,
371,90091187,31.1,,
770,96103194,30.2727272727273,,
502,90184225,30.1666666666667,,
663,90375551,29.9,,
744,96101333,28.4,,
130,49243099,28.2222222222222,,
658,90371435,28.0909090909091,,
622,90337156,27.4545454545455,,
144,49247931,27.25,,
120,49240093,27.1666666666667,,
399,90126039,27,,
820,96109167,27,,
1070,96212656,27,,
114,49137888,26.1818181818182,,
605,90330372,26.0833333333333,,
799,96104434,26,,
1093,96216703,26,,
592,90322893,25.5833333333333,,
900,96129584,25.5,,
382,90099572,25,,
1059,96204162,24.75,,
1047,96203397,24.3333333333333,,
334,90056404,24.0833333333333,,
511,90186363,23.9,,
778,96103300,23.8333333333333,,
855,96117833,23.7,,
551,90224356,23.6363636363636,,
542,90208181,23.5,,
862,96120857,23.5,,
766,96101678,23.1666666666667,,
129,49243098,22.7777777777778,,
79,49128383,22.4166666666667,,
765,96101666,22.2222222222222,,
689,90397528,22,,
243,61003018,21.8888888888889,,
923,96132488,21.6666666666667,,
326,90050433,21.6,,
614,90336561,21.5833333333333,,
803,96107902,21.2,,
1090,96216692,21,,
327,90050460,20.8,,
568,90305576,20.5833333333333,,
668,90378180,20.5454545454545,,
187,49520248,20.1666666666667,,
269,90015885,20.1666666666667,,
544,90215478,19.8888888888889,,
925,96137587,19.8333333333333,,
983,96169702,19.8333333333333,,
655,90366591,19.8181818181818,,
25,31672878,19.75,,
723,90445190,19.7,,
328,90050794,19.6666666666667,,
599,90323154,19.5,,
115,49138154,19.3333333333333,,
957,96154115,19.1666666666667,,
670,90378528,19.0833333333333,,
253,90000773,18.9166666666667,,
29,31689023,18.75,,
19,31611487,18.5,,
76,49126187,18.1666666666667,,
117,49139215,17.9166666666667,,
652,90356842,17.75,,
447,90141621,17.6666666666667,,
688,90397512,17.6666666666667,,
34,31699851,17.5833333333333,,
588,90322190,17.4444444444444,,
109,49136556,17.3,,
704,90417277,17.25,,
741,96101294,16.9166666666667,,
251,90000615,16.8333333333333,,
779,96103361,16.6666666666667,,
113,49137593,16.5833333333333,,
228,50902127,16.5833333333333,,
505,90185848,16.5833333333333,,
1078,96214667,16.1666666666667,,
85,49129577,16,,
361,90082126,15.9166666666667,,
884,96129053,15.8333333333333,,
1020,96200493,15.6666666666667,,
771,96103198,15.5,,
683,90397247,15.3333333333333,,
1081,96215794,15.25,,
932,96140819,15.0833333333333,,
1061,96204294,15,,
1087,96216681,15,,
337,90060797,14.9166666666667,,
589,90322196,14.75,,
122,49240287,14.6666666666667,,
125,49241951,14.6666666666667,,
108,49136546,14.4,,
426,90133094,14.3333333333333,,
20,31611593,14.1818181818182,,
1099,96216742,14,,
341,90065076,13.9166666666667,,
1052,96203638,13.8333333333333,,
719,90444884,13.75,,
854,96117733,13.75,,
1022,96200769,13.75,,
394,90124982,13.6666666666667,,
625,90337475,13.5833333333333,,
555,90228521,13.3636363636364,,
352,90076710,13.25,,
780,96103368,13.1818181818182,,
582,90309016,13.1666666666667,,
866,96128376,13.1666666666667,,
882,96128948,13,,
159,49415922,12.7,,
549,90219350,12.6666666666667,,
1043,96202917,12.6666666666667,,
338,90060976,12.5833333333333,,
953,96152787,12.5,,
93,49130574,12.3636363636364,,
696,90399080,12.3333333333333,,
685,90397256,12.25,,
665,90377930,12.1666666666667,,
669,90378300,12.1666666666667,,
684,90397248,12,,
380,90096813,11.9166666666667,,
459,90141969,11.9166666666667,,
1033,96201972,11.9166666666667,,
4,26366248,11.9090909090909,,
483,90169187,11.5833333333333,,
127,49242867,11.5454545454545,,
107,49136314,11.5,,
621,90337065,11.5,,
66,49112058,11.4,,
171,49513227,11.4,,
648,90356298,11.3636363636364,,
524,90201191,11.25,,
375,90092972,11.1666666666667,,
904,96130012,11.0909090909091,,
230,60301567,11,,
841,96116040,11,,
977,96169624,11,,
378,90096717,10.8333333333333,,
746,96101341,10.8333333333333,,
220,50802102,10.8181818181818,,
455,90141927,10.75,,
692,90398582,10.75,,
191,49521464,10.5833333333333,,
189,49520561,10.5,,
1089,96216689,10.5,,
732,95011616,10.3333333333333,,
145,49247952,10.25,,
990,96171777,10.25,,
829,96110881,10.2,,
163,49426184,10.1666666666667,,
686,90397316,10.1666666666667,,
916,96131747,10.0833333333333,,
389,90122723,9.91666666666667,,
815,96108743,9.91666666666667,,
331,90055203,9.83333333333333,,
38,31701207,9.75,,
443,90140833,9.75,,
506,90185975,9.75,,
359,90081843,9.66666666666667,,
192,49521899,9.54545454545454,,
267,90015302,9.5,,
315,90043691,9.5,,
419,90131960,9.45454545454546,,
701,90409238,9.41666666666667,,
252,90000616,9.33333333333333,,
631,90337830,9.08333333333333,,
137,49246536,9,,
848,96116926,9,,
188,49520378,8.91666666666667,,
526,90201478,8.9,,
333,90055215,8.83333333333333,,
1035,96202181,8.83333333333333,,
677,90395077,8.66666666666667,,
311,90039596,8.58333333333333,,
106,49135841,8.5,,
229,60301559,8.5,,
1048,96203490,8.5,,
1088,96216683,8.5,,
162,49425582,8.36363636363636,,
276,90019756,8.33333333333333,,
698,90405133,8.33333333333333,,
270,90019573,8.16666666666667,,
639,90338849,8.16666666666667,,
946,96152303,8.16666666666667,,
968,96156685,8.08333333333333,,
391,90123976,8,,
42,31800488,7.91666666666667,,
370,90091183,7.8,,
149,49249381,7.75,,
1058,96204046,7.75,,
823,96110591,7.66666666666667,,
991,96171779,7.58333333333333,,
286,90023208,7.5,,
475,90155464,7.5,,
909,96130588,7.5,,
1068,96212025,7.5,,
70,49122226,7.41666666666667,,
200,50364877,7.41666666666667,,
342,90065365,7.41666666666667,,
585,90321962,7.27272727272727,,
633,90338076,7.25,,
490,90171229,7.11111111111111,,
1003,96186894,7.09090909090909,,
1019,96200487,7.08333333333333,,
30,31689374,7,,
590,90322215,6.91666666666667,,
641,90339008,6.91666666666667,,
319,90045965,6.83333333333333,,
396,90125709,6.58333333333333,,
241,60900451,6.5,,
154,49409064,6.45454545454545,,
410,90130164,6.45454545454545,,
444,90140920,6.41666666666667,,
550,90219505,6.36363636363636,,
554,90228520,6.33333333333333,,
33,31697618,6.1,,
618,90336677,6.09090909090909,,
792,96103971,6.08333333333333,,
268,90015870,6,,
845,96116652,6,,
697,90405122,5.91666666666667,,
958,96154116,5.91666666666667,,
181,49518187,5.83333333333333,,
291,90023730,5.83333333333333,,
1032,96201597,5.75,,
245,70011415,5.7,,
343,90069183,5.7,,
876,96128802,5.7,,
358,90081396,5.66666666666667,,
254,90001975,5.58333333333333,,
290,90023651,5.58333333333333,,
395,90125238,5.54545454545455,,
75,49125943,5.5,,
730,95005802,5.5,,
937,96143202,5.36363636363636,,
751,96101365,5.3,,
933,96140852,5.25,,
436,90139784,5.11111111111111,,
46,31975540,5.08333333333333,,
207,50570384,5.08333333333333,,
536,90204548,5,,
577,90308549,5,,
626,90337514,4.91666666666667,,
764,96101662,4.91666666666667,,
260,90010755,4.83333333333333,,
283,90020438,4.83333333333333,,
556,90228573,4.83333333333333,,
564,90305134,4.83333333333333,,
620,90337059,4.83333333333333,,
971,96157667,4.83333333333333,,
364,90083516,4.81818181818182,,
91,49130476,4.8,,
413,90130768,4.8,,
362,90082209,4.75,,
632,90337954,4.75,,
565,90305251,4.7,,
16,31607326,4.66666666666667,,
271,90019707,4.66666666666667,,
373,90091869,4.58333333333333,,
213,50800256,4.45454545454545,,
667,90378166,4.45454545454545,,
424,90133085,4.41666666666667,,
693,90398775,4.41666666666667,,
895,96129214,4.41666666666667,,
1027,96201336,4.41666666666667,,
293,90024221,4.4,,
365,90086410,4.33333333333333,,
12,31569134,4.25,,
72,49124425,4.25,,
509,90186250,4.22222222222222,,
934,96140873,4.2,,
233,60600751,4.16666666666667,,
781,96103564,4.16666666666667,,
165,49432874,4.14285714285714,,
687,90397429,4.09090909090909,,
606,90330541,4.08333333333333,,
1040,96202661,4.08333333333333,,
17,31607384,4,,
176,49517674,4,,
266,90015301,4,,
377,90096716,4,,
897,96129368,4,,
1084,96216653,4,,
261,90010757,3.91666666666667,,
407,90129062,3.91666666666667,,
453,90141902,3.91666666666667,,
982,96169672,3.91666666666667,,
1009,96187670,3.91666666666667,,
264,90010767,3.83333333333333,,
282,90020428,3.83333333333333,,
528,90201894,3.83333333333333,,
642,90340783,3.83333333333333,,
657,90368081,3.83333333333333,,
711,90441742,3.81818181818182,,
1074,96214589,3.8,,
52,40229408,3.75,,
231,60600385,3.75,,
675,90381728,3.75,,
708,90440958,3.71428571428571,,
996,96181348,3.71428571428571,,
112,49137434,3.66666666666667,,
796,96104221,3.66666666666667,,
966,96156178,3.63636363636364,,
449,90141642,3.6,,
151,49405993,3.57142857142857,,
969,96157004,3.55555555555556,,
480,90168823,3.54545454545455,,
166,49434990,3.5,,
263,90010764,3.5,,
548,90217802,3.5,,
627,90337515,3.5,,
759,96101649,3.5,,
168,49435005,3.41666666666667,,
846,96116653,3.2,,
616,90336649,3.16666666666667,,
811,96108366,3.16666666666667,,
826,96110745,3.08333333333333,,
617,90336650,3,,
911,96130905,3,,
935,96143194,3,,
1079,96215090,3,,
164,49429032,2.91666666666667,,
376,90092995,2.91666666666667,,
68,49121281,2.88888888888889,,
14,31599401,2.83333333333333,,
323,90046698,2.83333333333333,,
931,96140138,2.83333333333333,,
1064,96210895,2.83333333333333,,
1069,96212152,2.83333333333333,,
193,49522689,2.81818181818182,,
136,49245821,2.75,,
256,90008494,2.75,,
285,90020961,2.75,,
368,90088605,2.75,,
857,96117881,2.72727272727273,,
926,96139807,2.72727272727273,,
1038,96202495,2.66666666666667,,
111,49137136,2.63636363636364,,
32,31689598,2.6,,
240,60608193,2.5,,
879,96128862,2.5,,
981,96169664,2.5,,
234,60600828,2.45454545454545,,
1092,96216697,2.45454545454545,,
128,49243077,2.44444444444444,,
497,90172911,2.41666666666667,,
574,90305627,2.41666666666667,,
374,90092473,2.4,,
485,90169947,2.33333333333333,,
532,90202928,2.33333333333333,,
383,90100707,2.25,,
767,96102619,2.18181818181818,,
77,49126863,2.16666666666667,,
278,90019770,2.16666666666667,,
503,90184497,2.16666666666667,,
662,90374752,2.16666666666667,,
806,96108215,2.16666666666667,,
1012,96198695,2.09090909090909,,
174,49514798,2.08333333333333,,
938,96143227,2.08333333333333,,
461,90151543,2,,
656,90368012,2,,
872,96128510,2,,
954,96153220,2,,
975,96169394,2,,
1036,96202240,2,,
119,49188075,1.91666666666667,,
1010,96188943,1.91666666666667,,
880,96128863,1.90909090909091,,
992,96172096,1.90909090909091,,
205,50415849,1.88888888888889,,
330,90054286,1.83333333333333,,
349,90074513,1.83333333333333,,
912,96131057,1.83333333333333,,
1030,96201367,1.83333333333333,,
928,96139891,1.77777777777778,,
177,49517696,1.72727272727273,,
945,96152265,1.66666666666667,,
748,96101344,1.58333333333333,,
844,96116471,1.58333333333333,,
1013,96199495,1.58333333333333,,
1086,96216675,1.54545454545455,,
237,60603340,1.5,,
255,90003727,1.5,,
418,90131773,1.5,,
659,90372754,1.5,,
798,96104375,1.5,,
874,96128525,1.5,,
816,96108749,1.45454545454545,,
1071,96214123,1.45454545454545,,
834,96115543,1.44444444444444,,
63,46370212,1.41666666666667,,
161,49424352,1.41666666666667,,
209,50576095,1.41666666666667,,
442,90140813,1.41666666666667,,
695,90398921,1.41666666666667,,
720,90444892,1.41666666666667,,
976,96169402,1.41666666666667,,
557,90230387,1.4,,
1085,96216672,1.36363636363636,,
1091,96216695,1.36363636363636,,
167,49435004,1.33333333333333,,
312,90041119,1.33333333333333,,
411,90130254,1.33333333333333,,
921,96132448,1.33333333333333,,
250,90000314,1.3,,
356,90081170,1.3,,
24,31664856,1.25,,
406,90128210,1.25,,
510,90186294,1.25,,
680,90396674,1.25,,
762,96101652,1.25,,
495,90172772,1.2,,
249,90000313,1.18181818181818,,
830,96110894,1.18181818181818,,
571,90305624,1.16666666666667,,
573,90305626,1.16666666666667,,
612,90332006,1.16666666666667,,
930,96140090,1.16666666666667,,
470,90155195,1.11111111111111,,
262,90010763,1.08333333333333,,
304,90033582,1.08333333333333,,
637,90338531,1.08333333333333,,
951,96152734,1.08333333333333,,
1015,96200022,1.08333333333333,,
196,50305483,1,,
265,90011524,1,,
405,90128202,1,,
448,90141634,1,,
466,90152049,1,,
472,90155236,1,,
768,96103183,1,,
980,96169635,1,,
1055,96203879,1,,
763,96101657,0.9,,
924,96133658,0.9,,
67,49113315,0.75,,
531,90202165,0.75,,
877,96128851,0.75,,
878,96128854,0.75,,
896,96129224,0.75,,
1067,96212024,0.75,,
533,90203968,0.7,,
336,90057317,0.5,,
366,90087248,0.5,,
415,90131117,0.5,,
535,90204526,0.5,,
1026,96201115,0.5,,
95,49130853,0.4,,
661,90373884,0.3,,
50,38019264,0.25,,
301,90030692,0.25,,
886,96129069,0.25,,
1076,96214652,0.2,,
961,96155444,0.125,,
170,49511675,0.1,,
705,90424270,0.1,,
832,96115406,0.1,,
892,96129176,0.1,,
1077,96214653,0.1,,
1,00040676-581628,0,,
2,2637241,0,,
7,29566464,0,,
9,30767261,0,,
10,31522907,0,,
11,31545384,0,,
13,31583292,0,,
15,31607062,0,,
18,31611219,0,,
21,31618015,0,,
22,31630725,0,,
23,31658817,0,,
26,31672881,0,,
27,31680461,0,,
28,31688749,0,,
31,31689394,0,,
35,31699894,0,,
36,31700955,0,,
37,31701201,0,,
39,31702492,0,,
40,31703241,0,,
41,31800470,0,,
43,31801245,0,,
45,31975109,0,,
47,32001272,0,,
48,32180915,0,,
49,32549274,0,,
51,40229284,0,,
53,41600556,0,,
54,42111435,0,,
55,42278783,0,,
56,42559574,0,,
57,43238198,0,,
58,45952965,0,,
59,45952987,0,,
60,46000028,0,,
61,46000849,0,,
62,46223820,0,,
65,49049605,0,,
69,49121650,0,,
71,49123673,0,,
73,49124442,0,,
74,49125313,0,,
78,49127455,0,,
80,49128624,0,,
81,49129289,0,,
83,49129400,0,,
84,49129436,0,,
86,49130088,0,,
88,49130333,0,,
89,49130339,0,,
90,49130346,0,,
92,49130562,0,,
96,49130923,0,,
97,49130935,0,,
99,49132263,0,,
101,49133184,0,,
102,49133387,0,,
104,49134111,0,,
105,49135196,0,,
116,49138377,0,,
118,49160859,0,,
123,49241049,0,,
124,49241062,0,,
126,49242844,0,,
131,49243619,0,,
132,49243844,0,,
133,49244332,0,,
134,49244676,0,,
135,49245095,0,,
138,49246766,0,,
139,49246767,0,,
140,49247021,0,,
141,49247086,0,,
142,49247087,0,,
143,49247720,0,,
146,49249170,0,,
147,49249331,0,,
148,49249370,0,,
150,49401950,0,,
153,49406833,0,,
156,49411973,0,,
157,49412879,0,,
158,49413721,0,,
172,49513936,0,,
173,49514498,0,,
175,49515765,0,,
178,49517849,0,,
179,49517853,0,,
180,49518044,0,,
183,49519274,0,,
184,49519582,0,,
185,49520020,0,,
186,49520133,0,,
190,49521200,0,,
194,49522720,0,,
195,50005210,0,,
197,50306163,0,,
198,50361070,0,,
199,50361073,0,,
201,50380524,0,,
202,50400300,0,,
203,50412039,0,,
204,50412941,0,,
206,50570056,0,,
208,50570422,0,,
210,50576479,0,,
211,50602071,0,,
212,50800240,0,,
214,50800593,0,,
216,50801444,0,,
217,50801445,0,,
218,50801537,0,,
219,50801642,0,,
221,50802859,0,,
222,50900068,0,,
227,50902078,0,,
232,60600644,0,,
235,60601062,0,,
236,60601143,0,,
238,60603343,0,,
239,60604020,0,,
246,70044348,0,,
247,70044350,0,,
248,70062774,0,,
257,90008932,0,,
258,90008963,0,,
259,90010674,0,,
272,90019709,0,,
273,90019710,0,,
274,90019711,0,,
275,90019754,0,,
277,90019768,0,,
279,90019777,0,,
280,90020069,0,,
281,90020416,0,,
284,90020944,0,,
287,90023216,0,,
288,90023269,0,,
289,90023287,0,,
292,90024052,0,,
294,90024222,0,,
296,90026662,0,,
297,90030456,0,,
298,90030553,0,,
299,90030689,0,,
300,90030691,0,,
302,90030695,0,,
303,90030696,0,,
305,90038349,0,,
306,90038509,0,,
307,90038742,0,,
309,90039204,0,,
310,90039428,0,,
314,90043690,0,,
316,90043692,0,,
317,90043922,0,,
318,90045670,0,,
320,90045997,0,,
321,90046003,0,,
324,90048440,0,,
325,90050419,0,,
329,90053880,0,,
332,90055214,0,,
335,90057139,0,,
339,90060994,0,,
340,90061429,0,,
344,90069332,0,,
345,90069458,0,,
346,90070608,0,,
347,90070878,0,,
348,90071032,0,,
350,90074524,0,,
353,90076716,0,,
355,90080531,0,,
357,90081371,0,,
360,90082048,0,,
363,90082833,0,,
367,90087987,0,,
369,90091063,0,,
372,90091301,0,,
381,90099120,0,,
385,90103997,0,,
386,90104162,0,,
387,90104443,0,,
388,90107638,0,,
392,90124014,0,,
393,90124032,0,,
397,90125710,0,,
398,90125961,0,,
400,90126457,0,,
402,90126546,0,,
412,90130632,0,,
414,90131060,0,,
416,90131575,0,,
417,90131647,0,,
420,90132024,0,,
422,90132058,0,,
423,90132810,0,,
425,90133086,0,,
427,90133097,0,,
430,90133846,0,,
431,90134026,0,,
433,90138885,0,,
434,90139459,0,,
435,90139572,0,,
437,90139863,0,,
438,90139869,0,,
439,90140542,0,,
440,90140669,0,,
441,90140763,0,,
445,90141045,0,,
446,90141191,0,,
450,90141677,0,,
451,90141679,0,,
452,90141738,0,,
457,90141945,0,,
458,90141952,0,,
460,90141975,0,,
462,90151544,0,,
467,90154714,0,,
469,90155187,0,,
471,90155223,0,,
473,90155246,0,,
477,90158276,0,,
478,90161602,0,,
479,90168303,0,,
481,90169082,0,,
482,90169158,0,,
486,90170026,0,,
487,90170040,0,,
488,90170192,0,,
489,90170538,0,,
491,90171585,0,,
493,90171887,0,,
494,90172347,0,,
496,90172899,0,,
499,90173454,0,,
504,90185475,0,,
507,90186204,0,,
508,90186230,0,,
512,90186431,0,,
513,90186994,0,,
514,90186995,0,,
515,90186996,0,,
516,90186999,0,,
518,90187295,0,,
519,90187470,0,,
520,90193269,0,,
523,90201183,0,,
525,90201261,0,,
527,90201623,0,,
529,90202089,0,,
530,90202141,0,,
534,90203994,0,,
538,90204620,0,,
539,90207832,0,,
540,90208006,0,,
541,90208126,0,,
543,90208880,0,,
553,90227354,0,,
558,90243867,0,,
559,90243967,0,,
560,90304949,0,,
561,90305119,0,,
562,90305127,0,,
563,90305129,0,,
566,90305271,0,,
567,90305542,0,,
570,90305622,0,,
572,90305625,0,,
575,90305920,0,,
576,90307505,0,,
578,90308634,0,,
579,90308915,0,,
581,90308945,0,,
583,90319608,0,,
584,90321932,0,,
591,90322653,0,,
594,90323071,0,,
595,90323119,0,,
596,90323120,0,,
597,90323146,0,,
598,90323152,0,,
600,90330023,0,,
601,90330060,0,,
602,90330080,0,,
603,90330315,0,,
604,90330364,0,,
609,90330684,0,,
610,90330694,0,,
611,90331877,0,,
613,90336555,0,,
615,90336595,0,,
619,90336802,0,,
623,90337231,0,,
628,90337564,0,,
629,90337581,0,,
630,90337784,0,,
634,90338231,0,,
635,90338250,0,,
636,90338520,0,,
638,90338747,0,,
640,90338959,0,,
643,90341106,0,,
644,90341271,0,,
645,90350771,0,,
649,90356311,0,,
651,90356716,0,,
653,90356876,0,,
654,90366519,0,,
660,90373834,0,,
664,90377572,0,,
666,90377949,0,,
671,90380991,0,,
673,90381320,0,,
676,90382100,0,,
678,90395579,0,,
679,90396099,0,,
690,90398152,0,,
691,90398533,0,,
694,90398787,0,,
699,90405155,0,,
700,90405165,0,,
702,90412075,0,,
706,90426163,0,,
709,90441440,0,,
710,90441690,0,,
712,90441820,0,,
713,90442016,0,,
714,90442112,0,,
716,90443801,0,,
717,90444708,0,,
718,90444804,0,,
722,90445005,0,,
724,90445250,0,,
725,90445266,0,,
726,90445276,0,,
727,90445359,0,,
729,95005571,0,,
731,95005860,0,,
733,95011668,0,,
734,95018268,0,,
735,95018269,0,,
736,95018270,0,,
737,96100155,0,,
738,96100158,0,,
740,96101293,0,,
745,96101335,0,,
749,96101348,0,,
754,96101643,0,,
755,96101644,0,,
757,96101647,0,,
758,96101648,0,,
760,96101650,0,,
761,96101651,0,,
772,96103234,0,,
773,96103261,0,,
774,96103268,0,,
775,96103272,0,,
776,96103280,0,,
782,96103597,0,,
783,96103598,0,,
784,96103649,0,,
785,96103651,0,,
786,96103696,0,,
787,96103698,0,,
789,96103717,0,,
790,96103719,0,,
791,96103720,0,,
794,96104038,0,,
795,96104039,0,,
797,96104223,0,,
800,96105144,0,,
802,96107095,0,,
804,96108201,0,,
805,96108209,0,,
807,96108286,0,,
808,96108308,0,,
809,96108339,0,,
810,96108361,0,,
812,96108518,0,,
813,96108532,0,,
814,96108533,0,,
817,96108929,0,,
819,96109044,0,,
822,96110433,0,,
824,96110715,0,,
827,96110844,0,,
828,96110867,0,,
831,96115321,0,,
833,96115408,0,,
836,96115633,0,,
837,96115671,0,,
838,96115689,0,,
839,96115691,0,,
840,96115962,0,,
842,96116153,0,,
843,96116325,0,,
847,96116818,0,,
849,96116934,0,,
850,96117247,0,,
851,96117316,0,,
853,96117670,0,,
856,96117869,0,,
858,96117950,0,,
859,96118014,0,,
860,96118279,0,,
863,96120893,0,,
864,96120904,0,,
865,96125126,0,,
870,96128495,0,,
875,96128526,0,,
881,96128864,0,,
883,96129051,0,,
887,96129080,0,,
888,96129083,0,,
889,96129155,0,,
891,96129175,0,,
893,96129177,0,,
894,96129178,0,,
898,96129412,0,,
899,96129514,0,,
901,96129706,0,,
903,96129817,0,,
905,96130048,0,,
906,96130109,0,,
907,96130219,0,,
908,96130436,0,,
910,96130827,0,,
913,96131070,0,,
914,96131095,0,,
915,96131315,0,,
917,96131804,0,,
918,96131858,0,,
919,96131896,0,,
920,96132048,0,,
929,96140072,0,,
936,96143195,0,,
939,96143232,0,,
940,96143233,0,,
941,96143234,0,,
942,96143235,0,,
943,96143236,0,,
944,96147396,0,,
947,96152400,0,,
948,96152485,0,,
949,96152533,0,,
950,96152580,0,,
955,96153412,0,,
956,96153975,0,,
959,96154413,0,,
960,96154691,0,,
962,96155591,0,,
963,96155792,0,,
964,96155808,0,,
967,96156272,0,,
970,96157046,0,,
973,96158045,0,,
974,96168909,0,,
984,96169818,0,,
985,96169871,0,,
986,96170024,0,,
994,96181309,0,,
995,96181312,0,,
997,96181635,0,,
998,96181656,0,,
999,96182370,0,,
1006,96187187,0,,
1007,96187570,0,,
1014,96199623,0,,
1016,96200224,0,,
1017,96200384,0,,
1021,96200641,0,,
1023,96200818,0,,
1025,96201114,0,,
1028,96201362,0,,
1029,96201363,0,,
1034,96201988,0,,
1037,96202423,0,,
1039,96202588,0,,
1042,96202892,0,,
1044,96203001,0,,
1045,96203088,0,,
1046,96203091,0,,
1049,96203491,0,,
1050,96203544,0,,
1051,96203628,0,,
1053,96203724,0,,
1054,96203792,0,,
1056,96203936,0,,
1057,96203953,0,,
1060,96204212,0,,
1072,96214314,0,,
1073,96214415,0,,
1080,96215699,0,,
1082,96216282,0,,
1094,96216707,0,,
1095,96216708,0,,
1096,96216709,0,,
1097,96216715,0,,
1098,96216716,0,,